time,gFx,gFy,gFz
2024-01-01 15:14:07.8850,0.07,-0.741,-0.666,0.999
2024-01-01 15:14:07.8860,0.07,-0.741,-0.666,0.999
2024-01-01 15:14:07.8930,0.078,-0.744,-0.662,0.999
2024-01-01 15:14:07.9030,0.088,-0.742,-0.658,0.996
2024-01-01 15:14:07.9130,0.095,-0.743,-0.656,0.996
2024-01-01 15:14:07.9230,0.099,-0.743,-0.657,0.997
2024-01-01 15:14:07.9360,0.097,-0.742,-0.657,0.996
2024-01-01 15:14:07.9430,0.097,-0.744,-0.658,0.998
2024-01-01 15:14:07.9650,0.086,-0.742,-0.66,0.997
2024-01-01 15:14:07.9660,0.086,-0.742,-0.66,0.997
2024-01-01 15:14:07.9730,0.08,-0.743,-0.658,0.996
2024-01-01 15:14:07.9840,0.073,-0.745,-0.659,0.997
2024-01-01 15:14:07.9930,0.071,-0.747,-0.664,1.002
2024-01-01 15:14:08.0030,0.067,-0.744,-0.664,0.999
2024-01-01 15:14:08.0120,0.067,-0.74,-0.663,0.996
2024-01-01 15:14:08.0230,0.073,-0.738,-0.665,0.996
2024-01-01 15:14:08.0370,0.068,-0.74,-0.667,0.999
2024-01-01 15:14:08.0420,0.072,-0.745,-0.663,1.0
2024-01-01 15:14:08.0660,0.078,-0.749,-0.664,1.004
2024-01-01 15:14:08.0660,0.078,-0.749,-0.664,1.004
2024-01-01 15:14:08.0720,0.081,-0.747,-0.663,1.002
2024-01-01 15:14:08.0830,0.08,-0.748,-0.666,1.005
2024-01-01 15:14:08.0920,0.078,-0.749,-0.672,1.009
2024-01-01 15:14:08.1020,0.077,-0.748,-0.671,1.008
2024-01-01 15:14:08.1120,0.077,-0.746,-0.671,1.006
2024-01-01 15:14:08.1220,0.078,-0.744,-0.669,1.004
2024-01-01 15:14:08.1370,0.075,-0.743,-0.67,1.003
2024-01-01 15:14:08.1420,0.071,-0.744,-0.672,1.005
2024-01-01 15:14:08.1680,0.083,-0.744,-0.665,1.001
2024-01-01 15:14:08.1680,0.083,-0.744,-0.665,1.001
2024-01-01 15:14:08.1720,0.088,-0.747,-0.667,1.005
2024-01-01 15:14:08.1840,0.088,-0.75,-0.663,1.005
