time,gFx,gFy,gFz
2024-01-01 15:3:45.0180,0.117,-0.787,-0.608,1.001
2024-01-01 15:3:45.0180,0.117,-0.787,-0.608,1.001
2024-01-01 15:3:45.0180,0.117,-0.787,-0.608,1.001
2024-01-01 15:3:45.0240,0.104,-0.785,-0.616,1.003
2024-01-01 15:3:45.0340,0.096,-0.784,-0.609,0.997
2024-01-01 15:3:45.0440,0.098,-0.787,-0.605,0.997
2024-01-01 15:3:45.0540,0.1,-0.786,-0.612,1.001
2024-01-01 15:3:45.0640,0.089,-0.785,-0.615,1.001
2024-01-01 15:3:45.0740,0.077,-0.783,-0.616,0.999
2024-01-01 15:3:45.0890,0.083,-0.784,-0.616,1.001
2024-01-01 15:3:45.1050,0.087,-0.784,-0.607,0.995
2024-01-01 15:3:45.1050,0.087,-0.784,-0.607,0.995
2024-01-01 15:3:45.1140,0.087,-0.783,-0.614,0.999
2024-01-01 15:3:45.1240,0.088,-0.781,-0.618,1.0
2024-01-01 15:3:45.1340,0.096,-0.78,-0.609,0.994
2024-01-01 15:3:45.1440,0.101,-0.781,-0.609,0.996
2024-01-01 15:3:45.1540,0.099,-0.783,-0.613,0.999
2024-01-01 15:3:45.1640,0.094,-0.785,-0.613,1.0
2024-01-01 15:3:45.1740,0.09,-0.785,-0.61,0.998
2024-01-01 15:3:45.1830,0.091,-0.785,-0.609,0.998
2024-01-01 15:3:45.2060,0.091,-0.784,-0.611,0.998
2024-01-01 15:3:45.2060,0.091,-0.784,-0.611,0.998
2024-01-01 15:3:45.2130,0.092,-0.784,-0.609,0.997
2024-01-01 15:3:45.2230,0.092,-0.785,-0.61,0.998
2024-01-01 15:3:45.2330,0.094,-0.784,-0.611,0.998
2024-01-01 15:3:45.2430,0.094,-0.784,-0.613,1.0
2024-01-01 15:3:45.2530,0.093,-0.784,-0.613,1.0
2024-01-01 15:3:45.2630,0.092,-0.783,-0.612,0.998
2024-01-01 15:3:45.2730,0.092,-0.784,-0.612,0.999
2024-01-01 15:3:45.2830,0.091,-0.781,-0.616,0.999
2024-01-01 15:3:45.3060,0.088,-0.781,-0.614,0.997
2024-01-01 15:3:45.3060,0.088,-0.781,-0.614,0.997
2024-01-01 15:3:45.3130,0.092,-0.781,-0.612,0.996
2024-01-01 15:3:45.3230,0.093,-0.781,-0.614,0.998
2024-01-01 15:3:45.3320,0.093,-0.781,-0.614,0.998
2024-01-01 15:3:45.3420,0.093,-0.782,-0.614,0.999
2024-01-01 15:3:45.3530,0.09,-0.783,-0.615,1.0
2024-01-01 15:3:45.3630,0.089,-0.783,-0.612,0.998
2024-01-01 15:3:45.3730,0.091,-0.785,-0.613,1.0
2024-01-01 15:3:45.3820,0.091,-0.784,-0.613,0.999
2024-01-01 15:3:45.4050,0.091,-0.783,-0.612,0.998
2024-01-01 15:3:45.4060,0.091,-0.783,-0.612,0.998
2024-01-01 15:3:45.4120,0.093,-0.785,-0.612,1.0
2024-01-01 15:3:45.4220,0.093,-0.785,-0.608,0.997
2024-01-01 15:3:45.4320,0.092,-0.786,-0.609,0.999
2024-01-01 15:3:45.4420,0.09,-0.786,-0.609,0.998
2024-01-01 15:3:45.4530,0.091,-0.787,-0.609,0.999
2024-01-01 15:3:45.4620,0.09,-0.786,-0.609,0.998
2024-01-01 15:3:45.4720,0.09,-0.788,-0.609,1.0
2024-01-01 15:3:45.4820,0.089,-0.79,-0.606,1.0
2024-01-01 15:3:45.5020,0.093,-0.789,-0.609,1.001
2024-01-01 15:3:45.5030,0.093,-0.789,-0.609,1.001
2024-01-01 15:3:45.5110,0.092,-0.789,-0.61,1.002
2024-01-01 15:3:45.5220,0.092,-0.788,-0.61,1.001
2024-01-01 15:3:45.5310,0.09,-0.786,-0.609,0.998
2024-01-01 15:3:45.5420,0.092,-0.785,-0.611,0.999
2024-01-01 15:3:45.5540,0.091,-0.786,-0.609,0.998
2024-01-01 15:3:45.5610,0.09,-0.787,-0.612,1.001
2024-01-01 15:3:45.5710,0.081,-0.786,-0.616,1.002
2024-01-01 15:3:45.6020,0.083,-0.785,-0.614,1.0
2024-01-01 15:3:45.6020,0.083,-0.785,-0.614,1.0
2024-01-01 15:3:45.6030,0.083,-0.785,-0.614,1.0
2024-01-01 15:3:45.6110,0.081,-0.784,-0.614,0.999
