time,gFx,gFy,gFz
2024-04-13 18:49:37.0790,0.103,-0.856,-0.512,1.003
2024-04-13 18:49:37.0840,0.099,-0.856,-0.509,1.001
2024-04-13 18:49:37.0980,0.108,-0.856,-0.509,1.002
2024-04-13 18:49:37.1040,0.105,-0.851,-0.515,1.0
2024-04-13 18:49:37.1240,0.1,-0.846,-0.508,0.992
2024-04-13 18:49:37.1240,0.1,-0.846,-0.508,0.992
2024-04-13 18:49:37.1340,0.099,-0.846,-0.505,0.99
2024-04-13 18:49:37.1430,0.11,-0.853,-0.514,1.002
2024-04-13 18:49:37.1540,0.118,-0.849,-0.52,1.003
2024-04-13 18:49:37.1640,0.12,-0.846,-0.511,0.996
2024-04-13 18:49:37.1750,0.097,-0.85,-0.52,1.001
2024-04-13 18:49:37.1840,0.116,-0.845,-0.515,0.996
2024-04-13 18:49:37.1970,0.115,-0.851,-0.518,1.003
2024-04-13 18:49:37.2030,0.106,-0.849,-0.516,0.999
2024-04-13 18:49:37.2250,0.122,-0.853,-0.529,1.011
2024-04-13 18:49:37.2260,0.122,-0.853,-0.529,1.011
2024-04-13 18:49:37.2330,0.109,-0.855,-0.52,1.007
2024-04-13 18:49:37.2440,0.101,-0.854,-0.513,1.001
2024-04-13 18:49:37.2530,0.091,-0.856,-0.512,1.002
2024-04-13 18:49:37.2630,0.102,-0.854,-0.505,0.997
2024-04-13 18:49:37.2730,0.114,-0.848,-0.502,0.992
2024-04-13 18:49:37.2830,0.105,-0.846,-0.504,0.99
2024-04-13 18:49:37.2980,0.123,-0.855,-0.509,1.003
2024-04-13 18:49:37.3030,0.119,-0.857,-0.503,1.001
2024-04-13 18:49:37.3240,0.137,-0.869,-0.509,1.016
2024-04-13 18:49:37.3240,0.137,-0.869,-0.509,1.016
2024-04-13 18:49:37.3320,0.129,-0.87,-0.498,1.011
2024-04-13 18:49:37.3430,0.133,-0.874,-0.492,1.012
2024-04-13 18:49:37.3520,0.125,-0.869,-0.498,1.009
2024-04-13 18:49:37.3620,0.119,-0.864,-0.501,1.006
2024-04-13 18:49:37.3720,0.113,-0.859,-0.506,1.003
2024-04-13 18:49:37.3820,0.108,-0.854,-0.505,0.998
2024-04-13 18:49:37.3970,0.109,-0.852,-0.498,0.993
2024-04-13 18:49:37.4020,0.113,-0.854,-0.498,0.995
2024-04-13 18:49:37.4250,0.123,-0.849,-0.501,0.993
2024-04-13 18:49:37.4250,0.123,-0.849,-0.501,0.993
2024-04-13 18:49:37.4320,0.122,-0.848,-0.508,0.996
2024-04-13 18:49:37.4430,0.101,-0.845,-0.523,0.999
2024-04-13 18:49:37.4520,0.096,-0.854,-0.502,0.995
2024-04-13 18:49:37.4620,0.107,-0.862,-0.503,1.004
2024-04-13 18:49:37.4720,0.108,-0.855,-0.513,1.003
2024-04-13 18:49:37.4820,0.111,-0.86,-0.504,1.003
2024-04-13 18:49:37.4970,0.103,-0.858,-0.504,1.0
2024-04-13 18:49:37.5020,0.1,-0.856,-0.515,1.004
2024-04-13 18:49:37.5260,0.095,-0.852,-0.508,0.996
2024-04-13 18:49:37.5260,0.095,-0.852,-0.508,0.996
2024-04-13 18:49:37.5320,0.114,-0.848,-0.506,0.994
2024-04-13 18:49:37.5440,0.093,-0.848,-0.503,0.99
2024-04-13 18:49:37.5510,0.087,-0.847,-0.515,0.995
2024-04-13 18:49:37.5610,0.087,-0.846,-0.515,0.994
2024-04-13 18:49:37.5710,0.088,-0.847,-0.51,0.993
2024-04-13 18:49:37.5810,0.093,-0.847,-0.508,0.992
2024-04-13 18:49:37.5960,0.097,-0.849,-0.504,0.992
2024-04-13 18:49:37.6010,0.102,-0.847,-0.505,0.991
2024-04-13 18:49:37.6260,0.109,-0.849,-0.508,0.995
2024-04-13 18:49:37.6260,0.109,-0.849,-0.508,0.995
2024-04-13 18:49:37.6310,0.11,-0.853,-0.501,0.995
2024-04-13 18:49:37.6430,0.103,-0.855,-0.501,0.996
2024-04-13 18:49:37.6510,0.096,-0.853,-0.505,0.996
2024-04-13 18:49:37.6610,0.092,-0.851,-0.504,0.993
2024-04-13 18:49:37.6710,0.09,-0.849,-0.505,0.992
2024-04-13 18:49:37.6810,0.089,-0.849,-0.511,0.995
2024-04-13 18:49:37.6960,0.093,-0.851,-0.507,0.995
2024-04-13 18:49:37.7010,0.094,-0.853,-0.507,0.997
2024-04-13 18:49:37.7250,0.092,-0.855,-0.514,1.002
2024-04-13 18:49:37.7260,0.092,-0.855,-0.514,1.002
2024-04-13 18:49:37.7300,0.092,-0.854,-0.516,1.002
2024-04-13 18:49:37.7440,0.089,-0.854,-0.516,1.002
2024-04-13 18:49:37.7500,0.09,-0.853,-0.518,1.002
2024-04-13 18:49:37.7600,0.092,-0.853,-0.52,1.003
2024-04-13 18:49:37.7700,0.092,-0.851,-0.515,0.999
2024-04-13 18:49:37.7800,0.096,-0.849,-0.517,0.999
2024-04-13 18:49:37.7960,0.097,-0.848,-0.516,0.997
2024-04-13 18:49:37.8000,0.099,-0.846,-0.515,0.995
2024-04-13 18:49:37.8260,0.1,-0.842,-0.517,0.993
2024-04-13 18:49:37.8260,0.1,-0.842,-0.517,0.993
2024-04-13 18:49:37.8300,0.102,-0.841,-0.522,0.995
2024-04-13 18:49:37.8430,0.102,-0.841,-0.528,0.998
2024-04-13 18:49:37.8490,0.103,-0.842,-0.528,0.999
2024-04-13 18:49:37.8600,0.105,-0.842,-0.526,0.998
2024-04-13 18:49:37.8700,0.103,-0.842,-0.524,0.997
2024-04-13 18:49:37.8800,0.106,-0.843,-0.525,0.999
2024-04-13 18:49:37.8960,0.107,-0.843,-0.527,1.0
2024-04-13 18:49:37.9000,0.105,-0.841,-0.528,0.999
2024-04-13 18:49:37.9260,0.098,-0.835,-0.538,0.998
2024-04-13 18:49:37.9260,0.098,-0.835,-0.538,0.998
2024-04-13 18:49:37.9290,0.096,-0.828,-0.55,0.999
2024-04-13 18:49:37.9430,0.095,-0.826,-0.554,0.999
2024-04-13 18:49:37.9490,0.099,-0.824,-0.555,0.998
2024-04-13 18:49:37.9590,0.107,-0.829,-0.548,0.999
2024-04-13 18:49:37.9690,0.123,-0.839,-0.544,1.007
2024-04-13 18:49:37.9790,0.137,-0.854,-0.539,1.019
2024-04-13 18:49:37.9950,0.143,-0.868,-0.524,1.024
2024-04-13 18:49:37.9990,0.142,-0.879,-0.508,1.025
2024-04-13 18:49:38.0250,0.138,-0.895,-0.511,1.04
2024-04-13 18:49:38.0250,0.138,-0.895,-0.511,1.04
2024-04-13 18:49:38.0280,0.135,-0.9,-0.507,1.042
2024-04-13 18:49:38.0380,0.135,-0.899,-0.502,1.038
2024-04-13 18:49:38.0480,0.131,-0.894,-0.499,1.032
2024-04-13 18:49:38.0590,0.129,-0.888,-0.498,1.026
2024-04-13 18:49:38.0680,0.128,-0.877,-0.499,1.017
2024-04-13 18:49:38.0780,0.123,-0.87,-0.492,1.007
2024-04-13 18:49:38.1070,0.114,-0.836,-0.507,0.984
2024-04-13 18:49:38.1070,0.114,-0.836,-0.507,0.984
2024-04-13 18:49:38.1080,0.112,-0.823,-0.5,0.969
