time;gFx;gFy;gFz
2024-06-08 2:30:11.2910 PM;0.022;-0.836;-0.573;1.014
2024-06-08 2:30:11.2980 PM;-0.018;-0.776;-0.607;0.985
2024-06-08 2:30:11.3090 PM;-0.111;-0.804;-0.66;1.046
2024-06-08 2:30:11.3220 PM;-0.105;-0.824;-0.608;1.029
2024-06-08 2:30:11.3450 PM;-0.014;-0.831;-0.532;0.987
2024-06-08 2:30:11.3450 PM;-0.014;-0.831;-0.532;0.987
2024-06-08 2:30:11.3480 PM;0.022;-0.829;-0.535;0.987
2024-06-08 2:30:11.3580 PM;0.027;-0.826;-0.547;0.991
2024-06-08 2:30:11.3680 PM;0.014;-0.826;-0.552;0.994
2024-06-08 2:30:11.3780 PM;-0.002;-0.824;-0.547;0.989
2024-06-08 2:30:11.3880 PM;0.005;-0.833;-0.56;1.004
2024-06-08 2:30:11.3980 PM;0.005;-0.83;-0.565;1.004
2024-06-08 2:30:11.4090 PM;-0.011;-0.825;-0.56;0.997
2024-06-08 2:30:11.4450 PM;-0.029;-0.822;-0.571;1.001
2024-06-08 2:30:11.4450 PM;-0.029;-0.822;-0.571;1.001
2024-06-08 2:30:11.4450 PM;-0.029;-0.822;-0.571;1.001
2024-06-08 2:30:11.4480 PM;-0.008;-0.816;-0.587;1.005
2024-06-08 2:30:11.4580 PM;-0.012;-0.815;-0.573;0.996
2024-06-08 2:30:11.4680 PM;-0.003;-0.816;-0.561;0.99
2024-06-08 2:30:11.4780 PM;-0.002;-0.816;-0.553;0.986
2024-06-08 2:30:11.4880 PM;-0.001;-0.815;-0.561;0.989
2024-06-08 2:30:11.4980 PM;-0.006;-0.814;-0.567;0.992
2024-06-08 2:30:11.5080 PM;-0.007;-0.814;-0.568;0.993
2024-06-08 2:30:11.5460 PM;-0.011;-0.817;-0.573;0.998
2024-06-08 2:30:11.5460 PM;-0.011;-0.817;-0.573;0.998
2024-06-08 2:30:11.5460 PM;-0.011;-0.817;-0.573;0.998
2024-06-08 2:30:11.5480 PM;-0.006;-0.815;-0.568;0.993
2024-06-08 2:30:11.5580 PM;-0.002;-0.815;-0.569;0.994
2024-06-08 2:30:11.5680 PM;-0.001;-0.812;-0.57;0.992
2024-06-08 2:30:11.5780 PM;-0.003;-0.81;-0.573;0.992
2024-06-08 2:30:11.5880 PM;-0.005;-0.808;-0.572;0.99
2024-06-08 2:30:11.5980 PM;-0.004;-0.804;-0.572;0.987
2024-06-08 2:30:11.6080 PM;-0.008;-0.804;-0.575;0.988
2024-06-08 2:30:11.6450 PM;-0.012;-0.807;-0.575;0.991
2024-06-08 2:30:11.6460 PM;-0.012;-0.807;-0.575;0.991
2024-06-08 2:30:11.6460 PM;-0.012;-0.807;-0.575;0.991
2024-06-08 2:30:11.6480 PM;-0.011;-0.81;-0.57;0.991
2024-06-08 2:30:11.6580 PM;-0.007;-0.813;-0.569;0.992
